itemid	pLIax1zKPXRCdlnCOLHzy	IChfsjDJrJsfQDRVM9EAD	szG2cMaKkEtkY-V8dNQQU	l7GRxwpdjcWv8LSz2BlmV	cpyUkkJaPgvNbUQCb_z6e	Cghd2DGqBZpvfmqwFmd8z	bnWTWmxoqfafNDOrwqYVT	Adcwz0bdXvk6dvSCeN9xB	K7jbH86jW3DOVC9ElLn4z	A6WOvkJ7iVzFiSp6uftqC	8G9Iy7Dtj6ksL1ikYVmEp	createdAt	modifiedAt	createdBy	modifiedBy	isDeleted	todayTask	isMarked
1	25462	WDI001	WESTFALISCHE DRAHTINDUSTRIE	GMBH	37 Penn Drive	2025-03-07 00:00:00	Net 30		23364		[{"EWdBSDlm185GKpbReyvAx": "1", "hhV29UwNDr85bFxTpw0pK": "0.375 HX.C12L14", "Gx1FM5LN2nct-_fLeLn63": "HEXAGON COLD DRAWN STEEL BAR", "X_K-QEAdydBLh08Pf4FZY": "LB", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "20000", "m0XNzT9VELdAFFKfXZAYa": "0.62", "K7jbH86jW3DOVC9ElLn4z": "12476", "y-8t3wTX5XUkrbbE3ZHpi": "2025-01-10 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-001400-0"}, {"EWdBSDlm185GKpbReyvAx": "2", "hhV29UwNDr85bFxTpw0pK": "41/64 RD.C12L14", "Gx1FM5LN2nct-_fLeLn63": "COLD DRAWN STEEL BAR 12' LONG", "X_K-QEAdydBLh08Pf4FZY": "LB", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "20000", "m0XNzT9VELdAFFKfXZAYa": "0.54", "K7jbH86jW3DOVC9ElLn4z": "10888", "y-8t3wTX5XUkrbbE3ZHpi": "2025-01-10 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-001400-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
2	25463	E360	ENVIRONMENTAL 360 SOLUTIONS	(ONTARIO) LTD.	37 Penn Drive	2025-07-18 00:00:00	Net 30	SURJIT SINGH	801.02		[{"EWdBSDlm185GKpbReyvAx": "3", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "DUMP & RETURN WO # 30436", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "135", "K7jbH86jW3DOVC9ElLn4z": "135", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-18 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005648-0"}, {"EWdBSDlm185GKpbReyvAx": "4", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "WASTE 3.76 MT", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "394.8", "K7jbH86jW3DOVC9ElLn4z": "394.8", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-18 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005648-0"}, {"EWdBSDlm185GKpbReyvAx": "5", "hhV29UwNDr85bFxTpw0pK": "3", "Gx1FM5LN2nct-_fLeLn63": "ENERGY SURCHARGE", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "179.07", "K7jbH86jW3DOVC9ElLn4z": "179.07", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-18 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005648-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
3	25464	PRE001	PRECISION COMPONENTS	220 Pritchard Road	37 Penn Drive	2025-07-18 00:00:00	NET 45 DAYS	SURJIT SINGH	4626.33		[{"EWdBSDlm185GKpbReyvAx": "6", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "INSERTS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "10", "m0XNzT9VELdAFFKfXZAYa": "34.7", "K7jbH86jW3DOVC9ElLn4z": "347", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "7", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "DOVETAIL HOLDER ASSLY", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "225", "K7jbH86jW3DOVC9ElLn4z": "225", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005830-0"}, {"EWdBSDlm185GKpbReyvAx": "8", "hhV29UwNDr85bFxTpw0pK": "3", "Gx1FM5LN2nct-_fLeLn63": "SUPPOR PADS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "2", "m0XNzT9VELdAFFKfXZAYa": "24.5", "K7jbH86jW3DOVC9ElLn4z": "49", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "9", "hhV29UwNDr85bFxTpw0pK": "4", "Gx1FM5LN2nct-_fLeLn63": "INSERTS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "10", "m0XNzT9VELdAFFKfXZAYa": "33.5", "K7jbH86jW3DOVC9ElLn4z": "335", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "10", "hhV29UwNDr85bFxTpw0pK": "5", "Gx1FM5LN2nct-_fLeLn63": "DOVETAIL HOLDER ASSLY", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "215", "K7jbH86jW3DOVC9ElLn4z": "215", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005830-0"}, {"EWdBSDlm185GKpbReyvAx": "11", "hhV29UwNDr85bFxTpw0pK": "6", "Gx1FM5LN2nct-_fLeLn63": "SUPPORT PADS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "2", "m0XNzT9VELdAFFKfXZAYa": "23.5", "K7jbH86jW3DOVC9ElLn4z": "47", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "12", "hhV29UwNDr85bFxTpw0pK": "7", "Gx1FM5LN2nct-_fLeLn63": "INSERTS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "10", "m0XNzT9VELdAFFKfXZAYa": "45.5", "K7jbH86jW3DOVC9ElLn4z": "455", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "13", "hhV29UwNDr85bFxTpw0pK": "8", "Gx1FM5LN2nct-_fLeLn63": "DOVETAIL HOLDER ASSLY", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "265", "K7jbH86jW3DOVC9ElLn4z": "265", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005830-0"}, {"EWdBSDlm185GKpbReyvAx": "14", "hhV29UwNDr85bFxTpw0pK": "9", "Gx1FM5LN2nct-_fLeLn63": "SUPPORT PADS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "2", "m0XNzT9VELdAFFKfXZAYa": "31.8", "K7jbH86jW3DOVC9ElLn4z": "63.6", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "15", "hhV29UwNDr85bFxTpw0pK": "10", "Gx1FM5LN2nct-_fLeLn63": "INSERTS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "10", "m0XNzT9VELdAFFKfXZAYa": "43.75", "K7jbH86jW3DOVC9ElLn4z": "437.5", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "16", "hhV29UwNDr85bFxTpw0pK": "11", "Gx1FM5LN2nct-_fLeLn63": "DOVETAIL HOLDER ASSLY", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "250", "K7jbH86jW3DOVC9ElLn4z": "250", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005830-0"}, {"EWdBSDlm185GKpbReyvAx": "17", "hhV29UwNDr85bFxTpw0pK": "12", "Gx1FM5LN2nct-_fLeLn63": "SUPPORT PADS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "2", "m0XNzT9VELdAFFKfXZAYa": "31", "K7jbH86jW3DOVC9ElLn4z": "62", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "18", "hhV29UwNDr85bFxTpw0pK": "13", "Gx1FM5LN2nct-_fLeLn63": "INSERTS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "10", "m0XNzT9VELdAFFKfXZAYa": "39.25", "K7jbH86jW3DOVC9ElLn4z": "392.5", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "19", "hhV29UwNDr85bFxTpw0pK": "14", "Gx1FM5LN2nct-_fLeLn63": "DOVETAIL HOLDER ASSLY", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "235", "K7jbH86jW3DOVC9ElLn4z": "235", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005830-0"}, {"EWdBSDlm185GKpbReyvAx": "20", "hhV29UwNDr85bFxTpw0pK": "15", "Gx1FM5LN2nct-_fLeLn63": "SUPPORT PADS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "2", "m0XNzT9VELdAFFKfXZAYa": "27.5", "K7jbH86jW3DOVC9ElLn4z": "55", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "21", "hhV29UwNDr85bFxTpw0pK": "16", "Gx1FM5LN2nct-_fLeLn63": "INSERTS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "10", "m0XNzT9VELdAFFKfXZAYa": "38.25", "K7jbH86jW3DOVC9ElLn4z": "382.5", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}, {"EWdBSDlm185GKpbReyvAx": "22", "hhV29UwNDr85bFxTpw0pK": "17", "Gx1FM5LN2nct-_fLeLn63": "DOVETAIL HOLDER ASSLY", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "225", "K7jbH86jW3DOVC9ElLn4z": "225", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005830-0"}, {"EWdBSDlm185GKpbReyvAx": "23", "hhV29UwNDr85bFxTpw0pK": "18", "Gx1FM5LN2nct-_fLeLn63": "SUPPORT PADS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "2", "m0XNzT9VELdAFFKfXZAYa": "26.5", "K7jbH86jW3DOVC9ElLn4z": "53", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-30 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005846-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
4	25465	DEL002	DELTA MASTER QUALITY SUPPORT	QUERETARO QRO	37 Penn Drive	2025-07-18 00:00:00	Net 30		272		[{"EWdBSDlm185GKpbReyvAx": "24", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "Inspection of 19394801", "X_K-QEAdydBLh08Pf4FZY": "HR", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "17", "m0XNzT9VELdAFFKfXZAYa": "13", "K7jbH86jW3DOVC9ElLn4z": "221", "y-8t3wTX5XUkrbbE3ZHpi": "2025-05-16 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005540-0"}, {"EWdBSDlm185GKpbReyvAx": "25", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "Supersviosor Hrs ( 3.4 @ 15 e", "X_K-QEAdydBLh08Pf4FZY": "HR", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "51", "K7jbH86jW3DOVC9ElLn4z": "51", "y-8t3wTX5XUkrbbE3ZHpi": "2025-05-16 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005540-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
5	25466	AMA001	AMAZON.CA	6363 MILLCREEK DRIVE	37 Penn Drive	2025-07-18 00:00:00	Net 30	SURJIT SINGH	281.25		[{"EWdBSDlm185GKpbReyvAx": "26", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "HANGING FOLDERS LEGAL SIZE", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "5", "m0XNzT9VELdAFFKfXZAYa": "28.79", "K7jbH86jW3DOVC9ElLn4z": "143.95", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-21 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-008590-0"}, {"EWdBSDlm185GKpbReyvAx": "27", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "FILE FOLDERS LEGAL SIZE", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "3", "m0XNzT9VELdAFFKfXZAYa": "34.98", "K7jbH86jW3DOVC9ElLn4z": "104.94", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-21 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-008590-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
6	25467	DET001	DETROIT AUTOMATIC TOOLING INC	12275 HURON RIVER DRIVE	37 Penn Drive	2025-07-18 00:00:00	NET 45 DAYS	SURJIT SINGH	294		[{"EWdBSDlm185GKpbReyvAx": "28", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "SPIRAL CAGE PUSHER", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "N", "hnzgiQph-MXpYA4bowCiI": "7", "m0XNzT9VELdAFFKfXZAYa": "42", "K7jbH86jW3DOVC9ElLn4z": "294", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-31 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005920-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
7	25468	STA002	STAPLES BUSINESS DEPOT	CITI COMMERCE SOLUTIONS	37 Penn Drive	2025-07-18 00:00:00	NET 45 DAYS	SURJIT SINGH	225.94		[{"EWdBSDlm185GKpbReyvAx": "29", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "BANKER BOX DRAWER STYLE", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "5", "m0XNzT9VELdAFFKfXZAYa": "39.99", "K7jbH86jW3DOVC9ElLn4z": "199.95", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-21 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-008590-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
8	25469	ULI001	ULINE	2425 MATHESON BLVD.EAST	37 Penn Drive	2025-07-18 00:00:00	NET 45 DAYS	SURJIT SINGH	131.08		[{"EWdBSDlm185GKpbReyvAx": "30", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "HAIRNET POLY BOUFFANT CAPS", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "3", "m0XNzT9VELdAFFKfXZAYa": "8", "K7jbH86jW3DOVC9ElLn4z": "24", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-21 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005615-0"}, {"EWdBSDlm185GKpbReyvAx": "31", "hhV29UwNDr85bFxTpw0pK": "2", "Gx1FM5LN2nct-_fLeLn63": "AIR FRESHNER SPRAY", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "92", "K7jbH86jW3DOVC9ElLn4z": "92", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-21 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005590-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
9	25470	PAU002	PAUL WOLF ELECTRIC & LIGHTING	SUPPLY	37 Penn Drive	2025-07-18 00:00:00	NET 45 DAYS	SURJIT SINGH	62.65		[{"EWdBSDlm185GKpbReyvAx": "32", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "BATTERY 9 V", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "24", "m0XNzT9VELdAFFKfXZAYa": "2.31", "K7jbH86jW3DOVC9ElLn4z": "55.44", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-22 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-005590-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
10	25471	AMA001	AMAZON.CA	6363 MILLCREEK DRIVE	37 Penn Drive	2025-07-18 00:00:00	Net 30	SURJIT SINGH	20.18		[{"EWdBSDlm185GKpbReyvAx": "33", "hhV29UwNDr85bFxTpw0pK": "1", "Gx1FM5LN2nct-_fLeLn63": "SANDISK USB 128GB", "X_K-QEAdydBLh08Pf4FZY": "PC", "Fk4UvCUeIWcHJxTxGSQi9": "Y", "hnzgiQph-MXpYA4bowCiI": "1", "m0XNzT9VELdAFFKfXZAYa": "17.86", "K7jbH86jW3DOVC9ElLn4z": "17.86", "y-8t3wTX5XUkrbbE3ZHpi": "2025-07-22 00:00:00", "rJemAZd-lVI-rRjTqTe05": "8224", "W6qlf2mHG_WyKim70kowj": "010-008590-0"}]	2025-11-13T08:24:39Z	NULL	1	0	1	1	0
